Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Postal Code,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,42420,FUR-BO-10001798,261.96,2,0,41.9136
CA-2016-138688,11/8/2016,11/11/2016,Second Class,CG-12520,42420,FUR-CH-10000454,731.94,3,0,219.582
US-2015-108966,6/12/2016,6/16/2016,Second Class,DV-13045,90036,OFF-LA-10000240,14.62,2,0,6.8714
CA-2014-115812,10/11/2015,10/18/2015,Standard Class,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031
CA-2017-114412,10/11/2015,10/18/2015,Standard Class,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164
CA-2016-161389,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,FUR-FU-10001487,48.86,7,0,14.1694
US-2015-118983,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,OFF-AR-10002833,7.28,4,0,1.9656
CA-2014-105893,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152
CA-2014-167164,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2014-143336,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,OFF-AP-10002892,114.9,5,0,34.47
CA-2016-137330,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092
US-2017-156909,6/9/2014,6/14/2014,Standard Class,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568
CA-2015-106320,4/15/2017,4/20/2017,Standard Class,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432
CA-2016-121755,12/5/2016,12/10/2016,Standard Class,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922
US-2015-150630,11/22/2015,11/26/2015,Standard Class,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858
CA-2017-107727,11/22/2015,11/26/2015,Standard Class,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816
CA-2016-117590,11/11/2014,11/18/2014,Standard Class,PK-19075,53711,OFF-ST-10004186,665.88,6,0,13.3176
CA-2015-117415,5/13/2014,5/15/2014,Second Class,AG-10270,84084,OFF-ST-10000107,55.5,2,0,9.99
